1	753388,63	1039526,42	362,73	živice		
2	753316,42	1039550,26	362,64	živice		
3	753272,34	1039638,71	364,42	živice		
4	753276,12	1039634,11	364,55	živice		
5	753277,00	1039634,31	364,60	vpust		
6	753278,33	1039633,25	364,69	živice		
7	753264,31	1039631,36	364,00	živice		
8	753260,70	1039634,65	364,15	živice
9	753254,30	1039623,69	363,96	živice
10	753259,68	1039621,71	363,80	živice
11	753259,34	1039620,10	363,77	živice
12	753259,50	1039616,29	363,72	živice
13	753255,16	1039614,71	363,84	živice
14	753257,18	1039610,64	363,76	živice
15	753261,18	1039612,03	363,66	živice
16	753266,04	1039607,52	363,53	živice
17	753263,88	1039604,03	363,61	živice
18	753266,45	1039608,03	363,51	živice
19	753266,86	1039615,97	363,63	živice
20	753271,62	1039622,17	363,72	živice
21	753279,28	1039624,15	363,69	živice
22	753288,09	1039619,77	363,50	živice
23	753283,59	1039614,47	363,46	živice
24	753279,68	1039615,93	363,52	živice
25	753275,69	1039612,91	363,50	živice
26	753277,69	1039605,95	363,34	živice
27	753285,18	1039598,24	363,12	živice
28	753281,80	1039595,69	363,06	živice
29	753278,13	1039591,14	363,20	živice
30	753285,34	1039605,49	363,26	živice
31	753292,87	1039600,13	363,07	živice
32	753296,43	1039602,70	363,09	živice
33	753301,32	1039607,74	363,18	živice
34	753309,22	1039600,47	362,98	živice
35	753304,72	1039595,08	362,91	živice
36	753305,89	1039588,46	362,75	živice
37	753304,27	1039588,68	362,79	živice
38	753296,55	1039587,80	362,80	živice
39	753293,27	1039585,25	362,75	živice
40	753289,17	1039580,93	362,87	živice
41	753283,08	1039586,59	363,06	živice
42	753287,21	1039590,52	362,91	živice
43	753299,81	1039571,16	362,59	živice
44	753303,84	1039575,76	362,60	živice
45	753305,57	1039579,39	362,64	živice
46	753311,37	1039583,31	362,66	živice
47	753314,52	1039585,95	362,69	živice
48	753319,77	1039590,72	362,70	živice
49	753329,35	1039581,72	362,66	živice
50	753324,67	1039576,52	362,62	živice
51	753320,51	1039572,05	362,57	živice
52	753317,35	1039568,32	362,55	živice
53	753314,14	1039564,85	362,52	živice
54	753310,66	1039561,06	362,53	živice
55	753318,83	1039553,38	362,50	živice
56	753322,93	1039557,03	362,50	živice
57	753325,73	1039560,40	362,53	živice
58	753327,93	1039565,17	362,56	živice
59	753329,45	1039565,09	362,55	živice
60	753333,15	1039568,53	362,59	živice
61	753337,71	1039573,80	362,63	živice
62	753347,16	1039564,81	362,59	živice
63	753342,43	1039559,76	362,56	živice
64	753338,11	1039555,93	362,50	živice
65	753334,04	1039552,51	362,49	živice
66	753329,53	1039549,49	362,47	živice
67	753324,93	1039547,77	362,46	živice
68	753333,60	1039540,05	362,42	živice
69	753337,98	1039536,69	362,39	vpust
70	753345,06	1039542,07	362,45	živice
71	753347,84	1039545,78	362,49	živice
72	753349,44	1039546,21	362,49	živice
73	753352,60	1039550,16	362,54	živice
74	753357,23	1039555,29	362,60	živice
75	753370,24	1039543,12	362,59	živice
76	753365,08	1039538,47	362,50	živice
77	753360,88	1039534,54	362,43	živice
78	753357,13	1039530,87	362,37	živice
79	753350,75	1039523,34	362,29	živice
80	753348,52	1039524,29	362,32	živice
81	753347,07	1039524,34	362,31	živice
82	753346,88	1039525,11	362,30	živice
83	753344,74	1039529,76	362,30	živice
84	753362,44	1039512,43	362,21	živice
